epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,7330.81,1.53612,0.27807,0.10059,0.94581,0.86728,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000161,0.000161,0.000161
90,7414.35,1.52122,0.21907,0.18726,0.90382,0.87438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000148625,0.000148625,0.000148625
91,7497.04,1.48039,0.2171,0.06791,0.94824,0.87726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013625,0.00013625,0.00013625
92,7578.74,1.3689,0.16993,0.05834,0.90487,0.82625,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000123875,0.000123875,0.000123875
93,7661.52,1.48929,0.1966,0.04588,0.89079,0.89475,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001115,0.0001115,0.0001115
94,7743.64,1.50622,0.18122,0.05286,1.03177,0.85398,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9125e-05,9.9125e-05,9.9125e-05
95,7825.04,1.44017,0.18183,0.06861,0.86804,0.90022,0,0,0,0,0,0,0,0,0,0,0,0,0,8.675e-05,8.675e-05,8.675e-05
96,7906.35,1.41841,0.195,0.05023,0.89047,0.89055,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4375e-05,7.4375e-05,7.4375e-05
97,7989.07,1.49522,0.17747,0.06667,0.90813,0.87531,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2e-05,6.2e-05,6.2e-05
98,8071.46,1.4636,0.18304,0.06374,0.90057,0.90488,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9625e-05,4.9625e-05,4.9625e-05
99,8153.23,1.48287,0.1966,0.05753,0.898,0.89103,0,0,0,0,0,0,0,0,0,0,0,0,0,3.725e-05,3.725e-05,3.725e-05
100,8247.08,1.31402,0.16869,0.05599,0.84588,0.82357,0.18504,0.14043,0.08799,0.02578,0.81305,0.61702,0.7503,0.52994,2.77115,0.4953,0.03792,2.12912,0.81849,2.4875e-05,2.4875e-05,2.4875e-05
